Name,Industry,City,Phone Number,Company Domain Name,Company owner,Lead Source,Lead Source Detail,CR Number
شركة الحديثة للصناعة فرع شركة روح المنافسة,صناعة المعادن,منطقة الرياض,966502337333,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,1126106615.0
فرع شركة مصنع اوبترنا العربية,القطاعات أخرى,منطقة الرياض,966599309146,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,1126002517.0
مصنع رضا للمكونات الغذائية,الأغذية,منطقة الرياض,966506869781,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,1010202137.0
مصنع الشركة العربية لصناعة كربونات الكالسيوم,الكيماويات الأساسية والمتوسطة,منطقة مكة المكرمة,966535999402,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,4030259768.0
شركة سيسرا للصناعة,الأغذية,منطقة تبوك,966555555501,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,3550024978.0
مصنع الصفوة العصرية للصناعات المعدنية,صناعة المعادن,منطقة الرياض,966590715000,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,1010470088.0
شركة اتحاد مصانع الاسلاك,صناعة المعادن,منطقة الرياض,966503061334,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,1010079195.0
مصنع الشركة السعودية لصناعة منصات الشحن,منتجات البلاستيك والمطاط,المنطقة الشرقية,966532800308,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,2050099688.0
شركة الجبس الأهلية / فرع ينبع,مواد البناء,منطقة المدينة المنورة,966554006859,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,4700000546.0
شركة الزامل للصناعات البلاستيكية,منتجات البلاستيك والمطاط,المنطقة الشرقية,966541244145,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,2050009176.0
شركة مصنع خلاصة الطيبات للمواد الغذائية,الأغذية,منطقة مكة المكرمة,966556633612,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,4030250137.0
شركة مصنع قنبر دويداغ للخرسانة مسبقة الصنع المحدودة,مواد البناء,المنطقة الشرقية,966555301839,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,2055000647.0
مصنع ابو الجدايل لمواسير الفيبرجلاس و البولي اثيلين,منتجات البلاستيك والمطاط,منطقة مكة المكرمة,966501590768,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,4030166731.0
مصنع الزامل للمكيفات - الفرع النسائي,الالات والمعدات,المنطقة الشرقية,966556230516,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,2050099639.0
مصنع البيارق للصناعات البتروكيماوية للمنظفات,الكيماويات الأساسية والمتوسطة,منطقة المدينة المنورة,555413552,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,4700010259.0
شركة قطرات ساقية للتحلية,الأغذية,منطقة مكة المكرمة,966505588441,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,4030170329.0
مصنع رمل السليكا الصناعي - فرع شركة عدوان للصناعات الكيماويه المحدوده,مواد البناء,منطقة الرياض,966502659195,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,1010139303.0
شركة بكس الصناعيه المحدوده,القطاعات أخرى,منطقة الرياض,966590009001,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,1010068036.0
شركة ثري ام العربية السعودية للتكنولوجيا والصناعة,الادوية,المنطقة الشرقية,966539172218,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,2050107043.0
شركة كوتو للصناعات الغذائية,الأغذية,منطقة الرياض,966555253653,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,1010623840.0
مصنع الأخوين للأعلاف,الأغذية,منطقة الرياض,966559208662,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,1011008363.0
شركة كابلات الجودة,الالات والمعدات,منطقة الرياض,966531430750,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,1126002415.0
شركة بارويد العربية السعودية المحدودة,الكيماويات الأساسية والمتوسطة,المنطقة الشرقية,966559933703,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,2050004457.0
مصنع شركة غاز الشرق,منتجات تكرير النفط,المنطقة الشرقية,966562652888,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,2050104225.0
شركة عوارض الرياض للصناعه,مواد البناء,منطقة الرياض,966554555510,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,1010251058.0
شركة الاتحاد لصناعة الانابيب المحدودة,منتجات البلاستيك والمطاط,منطقة مكة المكرمة,966558412076,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,4602004151.0
خزانات مياه الزامل,منتجات البلاستيك والمطاط,منطقة مكة المكرمة,966540669591,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,4030295679.0
مصنع منال محمد صبره للصناعات الخشبيه,القطاعات أخرى,منطقة مكة المكرمة,966536710002,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,4031075261.0
شركة مصنع أداء المعادن للكيماويات,الكيماويات الأساسية والمتوسطة,المنطقة الشرقية,966503818131,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,2050093122.0
فرع المصنع الاهلي للجلود,القطاعات أخرى,منطقة الرياض,555959968,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,1011023325.0
مصنع سليكات الصوديوم فرع شركه عدوان للصناعات الكيماويه المحدودة,الكيماويات الأساسية والمتوسطة,المنطقة الشرقية,966502659195,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,2050032587.0
شركة مركبات لدائن الكيمياء الصناعية شركة شخص واحد,الكيماويات الأساسية والمتوسطة,منطقة مكة المكرمة,966503529284,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,4602003127.0
مصنع ريق النحل للصناعات الغذائية,الأغذية,منطقة الرياض,966501773266,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,1010565562.0
مصنع شبه الجزيرة للحجر والرخام والجرانيت,مواد البناء,منطقة المدينة المنورة,966505450598,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,4650081390.0
شركة مصنع البيارق للأسمدة,الكيماويات الأساسية والمتوسطة,منطقة المدينة المنورة,966502484736,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,4700018027.0
شركة عبدالله سليمان الجاسر وشريكة,منتجات البلاستيك والمطاط,منطقة القصيم,966593261516,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,1131056329.0
مصنع شركة مواد الحفر,الكيماويات الأساسية والمتوسطة,المنطقة الشرقية,966505803467,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,2050100696.0
شركة مصنع الرأي للصناعات الدوائية,الادوية,منطقة مكة المكرمة,966592106868,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,4030188649.0
شركة المتحد السعودى لأنتاج رقائق النسيج,القطاعات أخرى,منطقة المدينة المنورة,966504590470,,,Factory Database - Saudi Gov,(2&3)قائمة المصانع - الصغيرة,4700004925.0
